DATE,Year,LFPR for Men,LFPR for Women
1/1/1965,1965,80.7,38.7
2/1/1965,1965,80.9,38.8
3/1/1965,1965,80.7,39
4/1/1965,1965,81,39
5/1/1965,1965,81.2,39
6/1/1965,1965,80.5,39.4
7/1/1965,1965,80.9,39.5
8/1/1965,1965,80.6,39.3
9/1/1965,1965,80.3,39.3
10/1/1965,1965,80.6,39.5
11/1/1965,1965,80.3,39.6
12/1/1965,1965,80.5,39.8
1/1/1966,1966,80.5,39.8
2/1/1966,1966,80.3,39.6
3/1/1966,1966,80.4,39.6
4/1/1966,1966,80.5,39.8
5/1/1966,1966,80.3,40
6/1/1966,1966,80.5,40.1
7/1/1966,1966,80.5,40.2
8/1/1966,1966,80.5,40.5
9/1/1966,1966,80.2,40.7
10/1/1966,1966,80.2,40.7
11/1/1966,1966,80.4,41.1
12/1/1966,1966,80.5,41
1/1/1967,1967,80.5,40.8
2/1/1967,1967,80.4,40.7
3/1/1967,1967,80.2,40.4
4/1/1967,1967,80.3,40.9
5/1/1967,1967,80.3,40.7
6/1/1967,1967,80.6,41
7/1/1967,1967,80.6,41.1
8/1/1967,1967,80.6,41.2
9/1/1967,1967,80.3,41.4
10/1/1967,1967,80.5,41.7
11/1/1967,1967,80.4,41.6
12/1/1967,1967,80.4,41.9
1/1/1968,1968,79.8,41
2/1/1968,1968,80.2,41.4
3/1/1968,1968,80,41.5
4/1/1968,1968,80.1,41.4
5/1/1968,1968,80.1,42
6/1/1968,1968,80.5,42
7/1/1968,1968,80.3,41.8
8/1/1968,1968,80.3,41.4
9/1/1968,1968,79.9,41.6
10/1/1968,1968,79.9,41.6
11/1/1968,1968,79.8,41.8
12/1/1968,1968,80,41.8
1/1/1969,1969,79.8,41.9
2/1/1969,1969,80,42.3
3/1/1969,1969,79.9,42.3
4/1/1969,1969,79.8,42.5
5/1/1969,1969,79.5,42.4
6/1/1969,1969,79.7,42.9
7/1/1969,1969,79.8,42.9
8/1/1969,1969,79.9,43
9/1/1969,1969,80.1,42.9
10/1/1969,1969,79.9,43.2
11/1/1969,1969,79.8,43
12/1/1969,1969,79.7,43.1
1/1/1970,1970,79.9,43.3
2/1/1970,1970,80,43.2
3/1/1970,1970,80,43.4
4/1/1970,1970,80,43.6
5/1/1970,1970,79.9,43.1
6/1/1970,1970,79.6,43.1
7/1/1970,1970,79.6,43.5
8/1/1970,1970,79.4,43.4
9/1/1970,1970,79.5,43.2
10/1/1970,1970,79.4,43.5
11/1/1970,1970,79.5,43.5
12/1/1970,1970,79.6,43.4
1/1/1971,1971,79.4,43.6
2/1/1971,1971,79.1,43.3
3/1/1971,1971,78.9,43.3
4/1/1971,1971,79.3,43.2
5/1/1971,1971,79.3,43.2
6/1/1971,1971,78.8,42.8
7/1/1971,1971,79.3,43.1
8/1/1971,1971,79.3,43.3
9/1/1971,1971,79,43.4
10/1/1971,1971,78.9,43.5
11/1/1971,1971,79.1,43.8
12/1/1971,1971,79.1,43.8
1/1/1972,1972,78.8,43.8
2/1/1972,1972,78.8,43.6
3/1/1972,1972,79.1,43.9
4/1/1972,1972,78.9,43.9
5/1/1972,1972,78.9,43.9
6/1/1972,1972,79,43.9
7/1/1972,1972,78.9,43.9
8/1/1972,1972,79.1,44
9/1/1972,1972,78.9,43.9
10/1/1972,1972,78.8,43.9
11/1/1972,1972,78.8,43.9
12/1/1972,1972,79,44
1/1/1973,1973,78.4,43.7
2/1/1973,1973,78.8,44.3
3/1/1973,1973,79.1,44.4
4/1/1973,1973,78.9,44.6
5/1/1973,1973,78.6,44.6
6/1/1973,1973,78.8,45
7/1/1973,1973,78.9,44.8
8/1/1973,1973,78.6,44.8
9/1/1973,1973,78.6,45
10/1/1973,1973,78.8,45
11/1/1973,1973,79,45.3
12/1/1973,1973,79.1,45.3
1/1/1974,1974,79.5,45.1
2/1/1974,1974,79.3,45.4
3/1/1974,1974,79,45.5
4/1/1974,1974,78.6,45.4
5/1/1974,1974,78.7,45.5
6/1/1974,1974,78.7,45.7
7/1/1974,1974,78.4,46.1
8/1/1974,1974,78.4,45.7
9/1/1974,1974,78.6,46
10/1/1974,1974,78.6,45.8
11/1/1974,1974,78.6,45.9
12/1/1974,1974,78.4,45.9
