DATE,LFPR
1/1/1965,80.7
2/1/1965,80.9
3/1/1965,80.7
4/1/1965,81
5/1/1965,81.2
6/1/1965,80.5
7/1/1965,80.9
8/1/1965,80.6
9/1/1965,80.3
10/1/1965,80.6
11/1/1965,80.3
12/1/1965,80.5
1/1/1966,80.5
2/1/1966,80.3
3/1/1966,80.4
4/1/1966,80.5
5/1/1966,80.3
6/1/1966,80.5
7/1/1966,80.5
8/1/1966,80.5
9/1/1966,80.2
10/1/1966,80.2
11/1/1966,80.4
12/1/1966,80.5
1/1/1967,80.5
2/1/1967,80.4
3/1/1967,80.2
4/1/1967,80.3
5/1/1967,80.3
6/1/1967,80.6
7/1/1967,80.6
8/1/1967,80.6
9/1/1967,80.3
10/1/1967,80.5
11/1/1967,80.4
12/1/1967,80.4
1/1/1968,79.8
2/1/1968,80.2
3/1/1968,80
4/1/1968,80.1
5/1/1968,80.1
6/1/1968,80.5
7/1/1968,80.3
8/1/1968,80.3
9/1/1968,79.9
10/1/1968,79.9
11/1/1968,79.8
12/1/1968,80
1/1/1969,79.8
2/1/1969,80
3/1/1969,79.9
4/1/1969,79.8
5/1/1969,79.5
6/1/1969,79.7
7/1/1969,79.8
8/1/1969,79.9
9/1/1969,80.1
10/1/1969,79.9
11/1/1969,79.8
12/1/1969,79.7
1/1/1970,79.9
2/1/1970,80
3/1/1970,80
4/1/1970,80
5/1/1970,79.9
6/1/1970,79.6
7/1/1970,79.6
8/1/1970,79.4
9/1/1970,79.5
10/1/1970,79.4
11/1/1970,79.5
12/1/1970,79.6
1/1/1971,79.4
2/1/1971,79.1
3/1/1971,78.9
4/1/1971,79.3
5/1/1971,79.3
6/1/1971,78.8
7/1/1971,79.3
8/1/1971,79.3
9/1/1971,79
10/1/1971,78.9
11/1/1971,79.1
12/1/1971,79.1
1/1/1972,78.8
2/1/1972,78.8
3/1/1972,79.1
4/1/1972,78.9
5/1/1972,78.9
6/1/1972,79
7/1/1972,78.9
8/1/1972,79.1
9/1/1972,78.9
10/1/1972,78.8
11/1/1972,78.8
12/1/1972,79
1/1/1973,78.4
2/1/1973,78.8
3/1/1973,79.1
4/1/1973,78.9
5/1/1973,78.6
6/1/1973,78.8
7/1/1973,78.9
8/1/1973,78.6
9/1/1973,78.6
10/1/1973,78.8
11/1/1973,79
12/1/1973,79.1
1/1/1974,79.5
2/1/1974,79.3
3/1/1974,79
4/1/1974,78.6
5/1/1974,78.7
6/1/1974,78.7
7/1/1974,78.4
8/1/1974,78.4
9/1/1974,78.6
10/1/1974,78.6
11/1/1974,78.6
12/1/1974,78.4
1/1/1975,78.3
2/1/1975,78
3/1/1975,78
4/1/1975,78.1
5/1/1975,78.3
6/1/1975,77.8
7/1/1975,78.1
8/1/1975,77.9
9/1/1975,77.8
10/1/1975,77.6
11/1/1975,77.5
12/1/1975,77.2
1/1/1976,77.4
2/1/1976,77.3
3/1/1976,77.3
4/1/1976,77.7
5/1/1976,77.6
6/1/1976,77.3
7/1/1976,77.6
8/1/1976,77.6
9/1/1976,77.5
10/1/1976,77.5
11/1/1976,77.7
12/1/1976,77.6
1/1/1977,77.3
2/1/1977,77.6
3/1/1977,77.5
4/1/1977,77.5
5/1/1977,77.6
6/1/1977,77.8
7/1/1977,77.6
8/1/1977,77.7
9/1/1977,77.3
10/1/1977,77.8
11/1/1977,78
12/1/1977,78
1/1/1978,77.9
2/1/1978,77.8
3/1/1978,77.7
4/1/1978,77.8
5/1/1978,77.8
6/1/1978,78
7/1/1978,77.8
8/1/1978,77.8
9/1/1978,77.6
10/1/1978,77.8
11/1/1978,78
12/1/1978,78
1/1/1979,78.2
2/1/1979,78.3
3/1/1979,78
4/1/1979,77.8
5/1/1979,77.6
6/1/1979,77.8
7/1/1979,77.9
8/1/1979,77.7
9/1/1979,77.9
10/1/1979,77.6
11/1/1979,77.5
12/1/1979,77.6
1/1/1980,77.8
2/1/1980,77.9
3/1/1980,77.6
4/1/1980,77.5
5/1/1980,77.7
6/1/1980,77.4
7/1/1980,77.5
8/1/1980,77.3
9/1/1980,77.2
10/1/1980,77.3
11/1/1980,77.3
12/1/1980,77
1/1/1981,77.3
2/1/1981,77.2
