DATE,LFPR
1/1/1965,38.7
2/1/1965,38.8
3/1/1965,39
4/1/1965,39
5/1/1965,39
6/1/1965,39.4
7/1/1965,39.5
8/1/1965,39.3
9/1/1965,39.3
10/1/1965,39.5
11/1/1965,39.6
12/1/1965,39.8
1/1/1966,39.8
2/1/1966,39.6
3/1/1966,39.6
4/1/1966,39.8
5/1/1966,40
6/1/1966,40.1
7/1/1966,40.2
8/1/1966,40.5
9/1/1966,40.7
10/1/1966,40.7
11/1/1966,41.1
12/1/1966,41
1/1/1967,40.8
2/1/1967,40.7
3/1/1967,40.4
4/1/1967,40.9
5/1/1967,40.7
6/1/1967,41
7/1/1967,41.1
8/1/1967,41.2
9/1/1967,41.4
10/1/1967,41.7
11/1/1967,41.6
12/1/1967,41.9
1/1/1968,41
2/1/1968,41.4
3/1/1968,41.5
4/1/1968,41.4
5/1/1968,42
6/1/1968,42
7/1/1968,41.8
8/1/1968,41.4
9/1/1968,41.6
10/1/1968,41.6
11/1/1968,41.8
12/1/1968,41.8
1/1/1969,41.9
2/1/1969,42.3
3/1/1969,42.3
4/1/1969,42.5
5/1/1969,42.4
6/1/1969,42.9
7/1/1969,42.9
8/1/1969,43
9/1/1969,42.9
10/1/1969,43.2
11/1/1969,43
12/1/1969,43.1
1/1/1970,43.3
2/1/1970,43.2
3/1/1970,43.4
4/1/1970,43.6
5/1/1970,43.1
6/1/1970,43.1
7/1/1970,43.5
8/1/1970,43.4
9/1/1970,43.2
10/1/1970,43.5
11/1/1970,43.5
12/1/1970,43.4
1/1/1971,43.6
2/1/1971,43.3
3/1/1971,43.3
4/1/1971,43.2
5/1/1971,43.2
6/1/1971,42.8
7/1/1971,43.1
8/1/1971,43.3
9/1/1971,43.4
10/1/1971,43.5
11/1/1971,43.8
12/1/1971,43.8
1/1/1972,43.8
2/1/1972,43.6
3/1/1972,43.9
4/1/1972,43.9
5/1/1972,43.9
6/1/1972,43.9
7/1/1972,43.9
8/1/1972,44
9/1/1972,43.9
10/1/1972,43.9
11/1/1972,43.9
12/1/1972,44
1/1/1973,43.7
2/1/1973,44.3
3/1/1973,44.4
4/1/1973,44.6
5/1/1973,44.6
6/1/1973,45
7/1/1973,44.8
